fldr_num,case_num,cossn,fnm,mnm,lnm,sex,LANG_SPKN,ADJULVL_CD,FROM_OCD,TO_OCD,CASE_ESTB_DT,TRNSFR_DT
1,201,123456790,Anil1,Kumar1,Gupta1,M,English,A,O41,T21,9/24/2014,7/4/2015
2,202,123456791,Anil2,Kumar2,Gupta2,M,English,A,O42,T22,9/25/2014,7/5/2015
3,203,123456792,Anil3,Kumar3,Gupta3,F,English,A,O43,T23,9/26/2014,7/6/2015
4,204,123456793,Anil4,Kumar4,Gupta4,M,English,A,O44,T24,9/27/2014,7/7/2015
5,205,123456794,Anil5,Kumar5,Gupta5,F,English,A,O45,T25,9/28/2014,7/8/2015
6,206,123456795,Anil6,Kumar6,Gupta6,M,English,A,O46,T26,9/29/2014,7/9/2015
7,207,123456796,Anil7,Kumar7,Gupta7,F,English,A,O47,T27,9/30/2014,7/10/2015
8,208,123456797,Anil8,Kumar8,Gupta8,M,English,A,O48,T28,10/1/2014,7/11/2015
9,209,123456798,Anil9,Kumar9,Gupta9,F,English,A,O49,T29,10/2/2014,7/12/2015
10,210,123456799,Anil10,Kumar10,Gupta10,M,English,A,O50,T30,10/3/2014,7/13/2015
11,211,123456800,Anil11,Kumar11,Gupta11,F,English,A,O51,T31,10/4/2014,7/14/2015
12,212,123456801,Anil12,Kumar12,Gupta12,M,English,A,O52,T32,10/5/2014,7/15/2015
13,213,123456802,Anil13,Kumar13,Gupta13,F,English,A,O53,T33,10/6/2014,7/16/2015
14,214,123456803,Anil14,Kumar14,Gupta14,M,English,A,O54,T34,10/7/2014,7/17/2015
15,215,123456804,Anil15,Kumar15,Gupta15,F,English,A,O55,T35,10/8/2014,7/18/2015
16,216,123456805,Anil16,Kumar16,Gupta16,M,English,A,O56,T36,10/9/2014,7/19/2015
17,217,123456806,Anil17,Kumar17,Gupta17,F,English,A,O57,T37,10/10/2014,7/20/2015
18,218,123456807,Anil18,Kumar18,Gupta18,M,English,A,O58,T38,10/11/2014,7/21/2015
19,219,123456808,Anil19,Kumar19,Gupta19,F,English,A,O59,T39,10/12/2014,7/22/2015
20,220,123456809,Anil20,Kumar20,Gupta20,M,English,A,O60,T40,10/13/2014,7/23/2015
